date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:01	721457/721457	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:91e372ca4d9faf1c7fba2d3b7b3cf808%22	https://w19r0y-10.myshopify.com/collections/frontpage	C:/Users/User/Downloads/tela%20mercado%20livre%20trabalho/tela%20mercado%20livre%20trabalho/w19r0y-10.myshopify.com/collections/frontpage.html	(from )
18:51:01	560/560	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:8570c91a365ae03588e3e82c8a9ec182%22	https://w19r0y-10.myshopify.com/robots.txt		(from )
18:51:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Feb%202025%2021:51:15%20GMT	http://w19r0y-10.myshopify.com/cdn/shop/t/4/assets/favicon.png?v=145227305158328575881739222053	C:/Users/User/Downloads/tela%20mercado%20livre%20trabalho/tela%20mercado%20livre%20trabalho/w19r0y-10.myshopify.com/cdn/shop/t/4/assets/favicon.10062.delayed	(from https://w19r0y-10.myshopify.com/collections/frontpage)
18:51:02	24118/24118	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2021:51:15%20GMT	https://w19r0y-10.myshopify.com/cdn/shop/t/4/assets/favicon.png?v=145227305158328575881739222053	C:/Users/User/Downloads/tela%20mercado%20livre%20trabalho/tela%20mercado%20livre%20trabalho/w19r0y-10.myshopify.com/cdn/shop/t/4/assets/favicon0062.png	(from https://w19r0y-10.myshopify.com/collections/frontpage)
18:51:02	61061/61061	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ee85-zxOu6QS7pek93GMwnU4P2iFfd/Y%22	https://cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	C:/Users/User/Downloads/tela%20mercado%20livre%20trabalho/tela%20mercado%20livre%20trabalho/cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	(from https://w19r0y-10.myshopify.com/collections/frontpage)
18:51:03	112/112	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Feb%202025%2021:51:16%20GMT	https://cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.js	C:/Users/User/Downloads/tela%20mercado%20livre%20trabalho/tela%20mercado%20livre%20trabalho/cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.4.delayed	(from https://w19r0y-10.myshopify.com/collections/frontpage)
18:51:03	19927/19927	---M-Z	200	added ('OK')	application/javascript	etag:W/%224dd7-LQbB+CPzTBmYHGrgsOsPWGHF4Us%22	https://cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	C:/Users/User/Downloads/tela%20mercado%20livre%20trabalho/tela%20mercado%20livre%20trabalho/cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	(from https://w19r0y-10.myshopify.com/collections/frontpage)
18:51:03	89795/89795	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15ec3%22	https://code.jquery.com/jquery-3.6.4.min.js	C:/Users/User/Downloads/tela%20mercado%20livre%20trabalho/tela%20mercado%20livre%20trabalho/code.jquery.com/jquery-3.6.4.min.js	(from https://w19r0y-10.myshopify.com/collections/frontpage)
18:51:04	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%225f7b5b5f-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	C:/Users/User/Downloads/tela%20mercado%20livre%20trabalho/tela%20mercado%20livre%20trabalho/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	(from https://w19r0y-10.myshopify.com/collections/frontpage)
18:51:04	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/User/Downloads/tela%20mercado%20livre%20trabalho/tela%20mercado%20livre%20trabalho/code.jquery.com/jquery-3.6.0.min.js	(from https://w19r0y-10.myshopify.com/collections/frontpage)
18:51:04	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/User/Downloads/tela%20mercado%20livre%20trabalho/tela%20mercado%20livre%20trabalho/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://w19r0y-10.myshopify.com/collections/frontpage)
